main_category,subcategories
Groceries & Food,"Supermarkets, Grocery delivery (Instacart), Organic markets, Wholesale clubs (Costco, Sam's Club)"
Dining & Restaurants,"Restaurants, Fast food, Cafes, Bars, Food trucks, Food delivery services (Uber Eats, DoorDash)"
Travel,"Airlines, Hotels, Motels, Cruises, Vacation rentals (Airbnb, Vrbo), Car rentals, Travel agencies, Attractions"
Transportation,"Rideshare (Uber, Lyft), Taxis, Public transit, Trains, Ferries, Parking, Tolls"
Gas & Fuel,"Gas stations, Diesel stations, EV charging stations"
Online Shopping,"Online Shopping, Amazon, Walmart.com, Target.com, Etsy, eBay, Subscription boxes, Direct-to-consumer brands"
Retail & Shopping,"Clothing stores, Department stores, Boutiques, Big box retailers, Electronics stores, Office supply stores"
Entertainment,"Movie theaters, Concerts, Sports events, Theme parks, Streaming services (Netflix, Hulu, Spotify)"
Utilities,"Electricity, Gas (utility), Water, Trash services, Internet, Cable, Mobile phone, Landline"
Pharmacies & Health,"Drugstores (CVS, Walgreens), Medical supplies, Over-the-counter medications"
Healthcare,"Doctor visits, Dental, Vision, Medical services, Copays, Health insurance premiums"
Fitness & Wellness,"Gyms, Yoga studios, Fitness apps (Peloton), Nutrition stores"
Home Improvement,"Hardware stores (Home Depot, Lowe’s), Appliance stores, Furniture, Garden centers"
Education,"Tuition payments, School supplies, Textbooks, Online learning (Coursera, Udemy)"
Subscriptions,"Digital news (NYTimes, WSJ), SaaS tools, Streaming, App stores (Apple, Google), Magazines"
Charity & Donations,"Non-profits, Religious donations, Fundraisers (GoFundMe, PayPal Giving Fund)"
Financial Services,"Tax payments, Accounting, Investment services, Brokerages, Loan payments"
Government & Legal,"DMV, Toll fees, Court fines, Legal services"
Cash Equivalents,"Gift cards, Money orders, Prepaid cards, Crypto purchases"
Miscellaneous,"Unclassified merchants, General services, Novelty categories"
