card_name,issuer,annual_fee,signup_bonus_spend_requirement,signup_bonus_value,base_rate,bonus_category_1,bonus_rate_1,bonus_category_2,bonus_rate_2,bonus_category_3,bonus_rate_3,user_selectable_categories,selectable_category_options,rotating_categories,activation_required,quarterly_cap,annual_cap,min_transactions_required,foreign_transaction_fee,currency_type,base_redemption_value,max_redemption_value,best_redemption_method,notes,rent_0ayment_capability,rewards_on_rent,transaction_fee,notes_rent_payments,,,,,,
Chase Sapphire Preferred,Chase,$95,"$5,000 in 3 months","60,000 points",0.01,Travel (via Chase Travel portal),0.05,Dining (restaurants & delivery),0.03,Online groceries & Streaming services,0.03,FALSE,,FALSE,FALSE,,,,0,POINTS,1,1.25,Use points for travel via Chase (25% bonus) or transfer to partners for max value,3x on streaming & online groceries; No foreign fees,⚠️ Limited,None,Varies,Rent payments typically incur fees; rewards may not offset costs.,,,,,,
Chase Sapphire Reserve,Chase,$550,"$5,000 in 3 months","60,000 points",0.01,"Travel (general, after $300 credit)",0.03,Dining (restaurants),0.03,Flights via Chase Travel portal (5x) & Hotels/Car rentals via Chase Travel (10x),,FALSE,,FALSE,FALSE,,,,0,POINTS,1,1.5,Travel portal for 50% bonus or transfer points to airlines/hotels,$300 annual travel credit; Lounge access; No foreign fees,⚠️ Limited,None,Varies,Similar to Sapphire Preferred; not ideal for rent payments.,,,,,,
Chase Freedom Flex,Chase,$0,$500 in 3 months,$200 cash back,0.01,Rotating bonus categories (quarterly),0.05,Travel via Chase Travel portal,0.05,Dining & Drugstores,0.03,FALSE,,TRUE,TRUE,1500,,,0.03,CASHBACK,1,1,Redeem as cash or combine points with Sapphire for better value,"5% categories on $1,500/quarter (activation required)",⚠️ Limited,None,Varies,Rent payments may not qualify for rewards; fees apply.,,,,,,
Chase Freedom Unlimited,Chase,$0,$500 in 3 months,$200 cash back,0.015,Travel via Chase Travel portal,0.05,Dining (restaurants),0.03,Drugstore purchases,0.03,FALSE,,FALSE,FALSE,,,,0.03,CASHBACK,1,1,Redeem for cash (or as points transferrable if paired with Sapphire),Unlimited 1.5% on all other purchases,⚠️ Limited,None,Varies,Rent payments may not qualify for rewards; fees apply.,,,,,,
Chase Ink Business Cash,Chase,$0,"$6,000 in 6 months",$750 cash back,0.01,Office Supply & Internet/Phone/Cable (combined),0.05,Gas & Restaurants (combined),0.02,,,FALSE,,FALSE,FALSE,,25000,,0.03,CASHBACK,1,1,Redeem as cash; can combine with Ultimate Rewards if you have a Sapphire/Ink Preferred,5% and 2% rewards on first $25k in respective categories each year,⚠️ Limited,None,Varies,Business card; rent payments may not be eligible for rewards.,,,,,,
Chase Ink Business Unlimited,Chase,$0,"$6,000 in 3 months",$750 cash back,0.015,,,,,,,FALSE,,FALSE,FALSE,,,,0.03,CASHBACK,1,1,Redeem as cash; points can be pooled into Ultimate Rewards program,Unlimited 1.5% cash back on all purchases,⚠️ Limited,None,Varies,Business card; rent payments may not be eligible for rewards.,,,,,,
Chase United Explorer Card,Chase,$95,"$3,000 in 3 months","60,000 miles",0.01,United Airlines purchases,0.02,Dining (incl. delivery),0.02,Hotel stays,0.02,FALSE,,FALSE,FALSE,,,,0,MILES,1.2,1.35,Redeem for United flights (best for award travel transfers):contentReference[oaicite:8]{index=8},Free checked bag & lounge passes; No foreign fees,⚠️ Limited,None,Varies,Rent payments typically incur fees; rewards may not offset costs.,,,,,,
Chase Amazon Prime Visa,Chase,$0,N/A (Instant $150 Amazon Gift Card on approval),$150 Amazon Gift Card,0.01,"Amazon.com, Whole Foods, Amazon Fresh, Chase Travel",0.05,"Gas, Restaurants, Transit",0.02,,,FALSE,,FALSE,FALSE,,,,0,CASHBACK,1,1,Redeem for cash or Amazon purchases (1 point = $0.01),5% back requires Prime membership; No foreign fees,⚠️ Limited,None,Varies,Not designed for rent payments; fees likely apply.,,,,,,
Chase Southwest Performance Business,Chase,$199,"$5,000 in 3 months","80,000 points",0.01,Southwest Airlines purchases,0.04,Rapid Rewards hotel & car partners,0.03,Social Media/Search Ads & Internet/Phone services; Rideshare,0.02,FALSE,,FALSE,FALSE,,,,0,POINTS,1.3,1.7,Redeem for Southwest flights (points ~1.3¢ each):contentReference[oaicite:13]{index=13},9K anniversary points & companion pass-qualifying spend; No foreign fees,⚠️ Limited,None,Varies,Business card; rent payments may not be eligible for rewards.,,,,,,
American Express Gold Card,American Express,$325,"$6,000 in 6 months","60,000 points",0.01,Restaurants worldwide (up to $50k/yr),0.04,U.S. Supermarkets (up to $25k/yr),0.04,Flights (direct or Amex Travel),0.03,FALSE,,FALSE,FALSE,,50000,,0,POINTS,1,2,Transfer MR points to travel partners for highest value,$10 monthly dining & $10 Uber credits; No foreign fees,⚠️ Limited,None,Varies,Rent payments typically incur fees; rewards may not offset costs.,,,,,,
