card_name,issuer,annual_fee,signup_bonus_spend_requirement,signup_bonus_value,base_rate,user_selectable_categories,selectable_category_options,rotating_categories,activation_required,quarterly_cap,annual_cap,min_transactions_required,foreign_transaction_fee,currency_type,base_redemption_value,max_redemption_value,best_redemption_method,notes,rent_payment_capability,rewards_on_rent,transaction_fee,notes_rent_payments,bonus_rate_1,main_category_1.1,subcategories_1.1,restrictions_1.1,notes_1.1,main_category_1.2,subcategories_1.2,restrictions_1.2,notes_1.2,main_category_1.3,subcategories_1.3,restrictions_1.3,notes_1.3,main_category_1.4,subcategories_1.4,restrictions_1.4,notes_1.4,main_category_1.5,subcategories_1.5,restrictions_1.5,notes_1.5,main_category_1.6,subcategories_1.6,restrictions_1.6,notes_1.6,bonus_rate_2,main_category_2.1,subcategories_2.1,restrictions_2.1,notes_2.1,main_category_2.2,subcategories_2.2,restrictions_2.2,notes_2.2,main_category_2.3,subcategories_2.3,restrictions_2.3,notes_2.3,main_category_2.4,subcategories_2.4,restrictions_2.4,notes_2.4,bonus_category_3,bonus_rate_3,main_category_3.1,subcategories_3.1,restrictions_3.1,notes_3.1,main_category_3.2,subcategories_3.2,restrictions_3.2,notes_3.2,main_category_3.3,subcategories_3.3,restrictions_3.3,notes_3.3
Chase Sapphire Preferred,Chase,$95,"$5,000 in 3 months","60,000 points",0.01,FALSE,,FALSE,FALSE,,,,0,POINTS,1,1.25,Use points for travel via Chase (25% bonus) or transfer to partners for max value,3x on streaming & online groceries; No foreign fees,Limited,None,Varies,Rent payments typically incur fees; rewards may not offset costs.,0.05,Travel,"Hotels, Car Rentals",Via Chase Travel Portal,,,,,,,,,,,,,,,,,,,,,,0.03,Dining & Restaurants,All,,,,,,,,,,,,,,,Online groceries & Streaming services,0.02,Travel,All,,,,,,,,,,
Chase Sapphire Reserve,Chase,$550,"$5,000 in 3 months","60,000 points",0.01,FALSE,,FALSE,FALSE,,,,0,POINTS,1,1.5,Travel portal for 50% bonus or transfer points to airlines/hotels,$300 annual travel credit; Lounge access; No foreign fees,Limited,None,Varies,Similar to Sapphire Preferred; not ideal for rent payments.,0.1,Travel,"Hotels, Car Rentals",Via Chase Travel Portal ,After $300 annual travel credit used,,,,,,,,,,,,,,,,,,,,,0.03,Dining & Restaurants,All,,,Travel,All,,After $300 annual travel credit used,Transportation,All,,After $300 annual travel credit used,,,,,,,,,,,,,,,,,,
Chase Freedom Flex,Chase,$0,$500 in 3 months,$200 cash back,0.01,FALSE,,TRUE,TRUE,1500,,,0.03,CASHBACK,1,1,Redeem as cash or combine points with Sapphire for better value,"5% categories on $1,500/quarter (activation required)",Limited,None,Varies,Rent payments may not qualify for rewards; fees apply.,0.05,Rotating,,,,Travel,All,Via Chase Travel Portal ,,,,,,,,,,,,,,,,,,0.03,Dining & Restaurants,All,,,Pharmacies & Health,Drugstores,,,,,,,,,,,Dining & Drugstores,,,,,,,,,,,,,
Chase Freedom Unlimited,Chase,$0,$500 in 3 months,$200 cash back,0.015,FALSE,,FALSE,FALSE,,,,0.03,CASHBACK,1,1,Redeem for cash (or as points transferrable if paired with Sapphire),Unlimited 1.5% on all other purchases,Limited,None,Varies,Rent payments may not qualify for rewards; fees apply.,0.05,Travel,"Airlines, Hotels, Car rentals, Attractions",via Chase Travel Portal,,,,,,,,,,,,,,,,,,,,,,0.03,Dining & Restaurants,All,,,Pharmacies & Health,Drugstores,,,,,,,,,,,Drugstore purchases,,,,,,,,,,,,,
Chase Ink Business Cash,Chase,$0,"$6,000 in 6 months",$750 cash back,0.01,FALSE,,FALSE,FALSE,,25000,,0.03,CASHBACK,1,1,Redeem as cash; can combine with Ultimate Rewards if you have a Sapphire/Ink Preferred,5% and 2% rewards on first $25k in respective categories each year,Limited,None,Varies,Business card; rent payments may not be eligible for rewards.,0.05,Retail & Shopping,Office supply stores,,"Up to $25,000 per year combined with utilities spend",Utilities,"Internet, Cable, Mobile phone",,"Up to $25,000 per year combined with office supplies spend",,,,,,,,,,,,,,,,,0.02,Gas & Fuel,All,,"Up to $25,000 per year combined with restaurants spend",Dining & Restaurants,All,,"Up to $25,000 per year combined with gas spend",,,,,,,,,,,,,,,,,,,,,,
Chase Ink Business Unlimited,Chase,$0,"$6,000 in 3 months",$750 cash back,0.015,FALSE,,FALSE,FALSE,,,,0.03,CASHBACK,1,1,Redeem as cash; points can be pooled into Ultimate Rewards program,Unlimited 1.5% cash back on all purchases,Limited,None,Varies,Business card; rent payments may not be eligible for rewards.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase United Explorer Card,Chase,$95,"$3,000 in 3 months","60,000 miles",0.01,FALSE,,FALSE,FALSE,,,,0,MILES,1.2,1.35,Redeem for United flights (best for award travel transfers):contentReference[oaicite:8]{index=8},Free checked bag & lounge passes; No foreign fees,Limited,None,Varies,Rent payments typically incur fees; rewards may not offset costs.,0.03,Travel,Hotels,Via United Hotels,,,,,,,,,,,,,,,,,,,,,,0.02,Travel,Airlines,"United Airlines tickets, fees",,Travel,Hotels,,Booked directly with the hotel,Dining & Restaurants,All,,,,,,,Hotel stays,,,,,,,,,,,,,
Chase Amazon Prime Visa,Chase,$0,N/A (Instant $150 Amazon Gift Card on approval),$150 Amazon Gift Card,0.01,FALSE,,FALSE,FALSE,,,,0,CASHBACK,1,1,Redeem for cash or Amazon purchases (1 point = $0.01),5% back requires Prime membership; No foreign fees,Limited,None,Varies,Not designed for rent payments; fees likely apply.,0.05,Online Shopping,Online Shopping,"Amazon, Amazon Fresh purchases",,Groceries & Food,Supermarkets,Whole Foods purchases,,Travel,"Airlines, Hotels, Car rentals, Attractions",Via Chase Travel Portal,,,,,,,,,,,,,,0.02,Gas & Fuel,All,,,Dining & Restaurants,All,,,Transportation,All,,,,,,,,,,,,,,,,,,,,
Chase Southwest Performance Business,Chase,$199,"$5,000 in 3 months","80,000 points",0.01,FALSE,,FALSE,FALSE,,,,0,POINTS,1.3,1.7,Redeem for Southwest flights (points ~1.3¢ each):contentReference[oaicite:13]{index=13},9K anniversary points & companion pass-qualifying spend; No foreign fees,Limited,None,Varies,Business card; rent payments may not be eligible for rewards.,0.04,Travel,Airlines,Southwest Airlines purchases,,,,,,,,,,,,,,,,,,,,,,0.03,Travel,Hotels,Rapid Rewards partners,,Travel,Car rentals,Rapid Rewards partners,,,,,,,,,,Social Media/Search Ads & Internet/Phone services; Rideshare,0.02,Transportation,All,,,Utilities,"Internet, Cable, Mobile phone",,,Miscellaneous,General services,Advertising and media,
American Express Gold Card,American Express,$325,"$6,000 in 6 months","60,000 points",0.01,FALSE,,FALSE,FALSE,,50000,,0,POINTS,1,2,Transfer MR points to travel partners for highest value,$10 monthly dining & $10 Uber credits; No foreign fees,Limited,None,Varies,Rent payments typically incur fees; rewards may not offset costs.,0.04,Dining & Restaurants,"Restaurants, Fast food, Cafes, Food trucks","Up to $50,000/year",,Groceries & Food,Supermarkets,,"Up to $25,000/year",,,,,,,,,,,,,,,,,0.03,Travel,Airlines,Booked directly with airline or via Amex Travel,,,,,,,,,,,,,,Horels via AmexTravel.com,0.02,Travel,"Airlines, Hotels",Via Amex Travel,,,,,,,,,
